latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.71216,-74.004432,13.0,2023-07-25 12:53:10+00:00,670.0,POINT (983021.3155209804 198735.62314151213),POINT (983038.2254028661 198712.3051517026),28.804040587164494
40.712225,-74.004481,12.9,2023-07-25 12:53:11+00:00,671.0,POINT (983007.7324500354 198759.3053032065),POINT (983021.3155209804 198735.62314151213),27.300999959978295
40.712293,-74.004511,12.8,2023-07-25 12:53:12+00:00,672.0,POINT (982999.416826393 198784.0801918421),POINT (983007.7324500354 198759.3053032065),26.133210737857176
40.712352,-74.004543,12.7,2023-07-25 12:53:13+00:00,673.0,POINT (982990.5465908265 198805.5761393794),POINT (982999.416826393 198784.0801918421),23.254178969208475
40.71241,-74.004546,12.7,2023-07-25 12:53:14+00:00,674.0,POINT (982989.7159991013 198826.7073414176),POINT (982990.5465908265 198805.5761393794),21.14751952814554
40.712471,-74.004541,12.6,2023-07-25 12:53:15+00:00,675.0,POINT (982991.1032972516 198848.93141957957),POINT (982989.7159991013 198826.7073414176),22.267335860109757
40.712527,-74.004537,12.6,2023-07-25 12:53:16+00:00,676.0,POINT (982992.2132698119 198869.33386068803),POINT (982991.1032972516 198848.93141957957),20.432612223320145
40.712577,-74.004519,12.6,2023-07-25 12:53:17+00:00,677.0,POINT (982997.2043266362 198887.55011944874),POINT (982992.2132698119 198869.33386068803),18.88763435319417
40.712629,-74.004494,12.6,2023-07-25 12:53:18+00:00,678.0,POINT (983004.13601153 198906.49494039337),POINT (982997.2043266362 198887.55011944874),20.17311319778799
40.712679,-74.004461,12.5,2023-07-25 12:53:19+00:00,679.0,POINT (983013.2854731792 198924.71098972613),POINT (983004.13601153 198906.49494039337),20.384727169237905
40.712729,-74.004421,12.5,2023-07-25 12:53:20+00:00,680.0,POINT (983024.3755163113 198942.92694460184),POINT (983013.2854731792 198924.71098972613),21.326276484786547
40.712776,-74.004387,12.4,2023-07-25 12:53:21+00:00,681.0,POINT (983033.8021219951 198960.0499968693),POINT (983024.3755163113 198942.92694460184),19.546350392663665
40.712813,-74.004365,12.4,2023-07-25 12:53:22+00:00,682.0,POINT (983039.9018029 198973.52991498448),POINT (983033.8021219951 198960.0499968693),14.795752753192547
40.712847,-74.004354,12.3,2023-07-25 12:53:23+00:00,683.0,POINT (983042.9519215056 198985.91699504404),POINT (983039.9018029 198973.52991498448),12.757075523420305
40.712878,-74.004349,12.3,2023-07-25 12:53:24+00:00,684.0,POINT (983044.3386192117 198997.2111670032),POINT (983042.9519215056 198985.91699504404),11.378982853099386
40.712897,-74.004348,12.3,2023-07-25 12:53:25+00:00,685.0,POINT (983044.6161900783 199004.1334298947),POINT (983044.3386192117 198997.2111670032),6.9278257140936
40.712917,-74.004352,12.3,2023-07-25 12:53:26+00:00,686.0,POINT (983043.5076433421 199011.4200919877),POINT (983044.6161900783 199004.1334298947),7.37050339692474
40.712933,-74.004348,12.2,2023-07-25 12:53:27+00:00,687.0,POINT (983044.6168411023 199017.24932256146),POINT (983043.5076433421 199011.4200919877),5.933822440304386
40.712948,-74.004344,12.2,2023-07-25 12:53:28+00:00,688.0,POINT (983045.726020259 199022.7142228354),POINT (983044.6168411023 199017.24932256146),5.5763261566975695
40.712967,-74.004329,12.2,2023-07-25 12:53:29+00:00,689.0,POINT (983049.8847669788 199029.63629369508),POINT (983045.726020259 199022.7142228354),8.075285708007423
40.712992,-74.004313,12.2,2023-07-25 12:53:30+00:00,690.0,POINT (983054.3208457726 199038.744333762),POINT (983049.8847669788 199029.63629369508),10.130902670834747
40.713017,-74.004288,12.1,2023-07-25 12:53:31+00:00,691.0,POINT (983061.2519614296 199047.85225240875),POINT (983054.3208457726 199038.744333762),11.445284894924479
40.713043,-74.004267,12.1,2023-07-25 12:53:32+00:00,692.0,POINT (983067.074183298 199057.3245574097),POINT (983061.2519614296 199047.85225240875),11.118580373258144
40.713053,-74.004245,12.1,2023-07-25 12:53:33+00:00,693.0,POINT (983073.1733446117 199060.96756466365),POINT (983067.074183298 199057.3245574097),7.104313519385349
40.713057,-74.004246,12.1,2023-07-25 12:53:34+00:00,694.0,POINT (983072.8961887115 199062.42489953278),POINT (983073.1733446117 199060.96756466365),1.4834555314454987
40.713056,-74.00423,12.0,2023-07-25 12:53:35+00:00,695.0,POINT (983077.3317954589 199062.06035457773),POINT (983072.8961887115 199062.42489953278),4.450561789463802
40.713068,-74.004211,12.0,2023-07-25 12:53:36+00:00,696.0,POINT (983082.5993096204 199066.43206510405),POINT (983077.3317954589 199062.06035457773),6.8453311364672835
40.713086,-74.004186,11.9,2023-07-25 12:53:37+00:00,697.0,POINT (983089.5302848979 199072.98967938818),POINT (983082.5993096204 199066.43206510405),9.541526261346116
40.713124,-74.004176,11.8,2023-07-25 12:53:38+00:00,698.0,POINT (983092.3032089153 199086.8341007754),POINT (983089.5302848979 199072.98967938818),14.119387775430464
40.713144,-74.004146,11.8,2023-07-25 12:53:39+00:00,699.0,POINT (983100.6203410759 199094.12031296044),POINT (983092.3032089153 199086.8341007754),11.057286076757789
40.713159,-74.004113,11.7,2023-07-25 12:53:40+00:00,700.0,POINT (983109.7690609456 199099.58483713475),POINT (983100.6203410759 199094.12031296044),10.656458121972438
40.713174,-74.004085,11.7,2023-07-25 12:53:41+00:00,701.0,POINT (983117.5316465213 199105.0494293605),POINT (983109.7690609456 199099.58483713475),9.493129252964529
