latitude,longitude,elevation,datetime,elapsed_time_seconds,geometry,previous_geometry,distance_since_previous
40.693616,-73.982316,10.5,2023-07-25 12:43:18+00:00,78.0,POINT (989153.9036719983 191979.95383013692),POINT (989165.8272992531 191982.87087579293),12.275261393156528
40.693606,-73.982357,10.5,2023-07-25 12:43:19+00:00,79.0,POINT (989142.5348034542 191976.30824315944),POINT (989153.9036719983 191979.95383013692),11.939073514463118
40.693614,-73.982392,10.5,2023-07-25 12:43:20+00:00,80.0,POINT (989132.8284580234 191979.22092574567),POINT (989142.5348034542 191976.30824315944),10.13394599701004
40.693601,-73.982435,10.6,2023-07-25 12:43:21+00:00,81.0,POINT (989120.9051902943 191974.4822491137),POINT (989132.8284580234 191979.22092574567),12.830408004522507
40.693586,-73.982486,10.6,2023-07-25 12:43:22+00:00,82.0,POINT (989106.7636036727 191969.01447582504),POINT (989120.9051902943 191974.4822491137),15.161827624343477
40.693585,-73.982553,10.7,2023-07-25 12:43:23+00:00,83.0,POINT (989088.1840737977 191968.64643872477),POINT (989106.7636036727 191969.01447582504),18.583174693414517
40.693589,-73.982615,10.7,2023-07-25 12:43:24+00:00,84.0,POINT (989070.9907193651 191970.10033815817),POINT (989088.1840737977 191968.64643872477),17.25471704221825
40.693594,-73.982676,10.7,2023-07-25 12:43:25+00:00,85.0,POINT (989054.074602411 191971.9186340239),POINT (989070.9907193651 191970.10033815817),17.01355967041482
40.693603,-73.982751,10.7,2023-07-25 12:43:26+00:00,86.0,POINT (989033.2758967975 191975.19349464294),POINT (989054.074602411 191971.9186340239),21.05494875961689
40.693592,-73.982812,10.8,2023-07-25 12:43:27+00:00,87.0,POINT (989016.3609300127 191971.18254581906),POINT (989033.2758967975 191975.19349464294),17.384010233588224
40.693598,-73.982869,10.8,2023-07-25 12:43:28+00:00,88.0,POINT (989000.5539764739 191973.3654260786),POINT (989016.3609300127 191971.18254581906),15.956965451020544
40.693605,-73.98292,10.8,2023-07-25 12:43:29+00:00,89.0,POINT (988986.4107992863 191975.91297041805),POINT (989000.5539764739 191973.3654260786),14.370784359924249
40.693613,-73.982971,10.8,2023-07-25 12:43:30+00:00,90.0,POINT (988972.2675542372 191978.82485244054),POINT (988986.4107992863 191975.91297041805),14.439890492442725
40.693627,-73.983009,10.9,2023-07-25 12:43:31+00:00,91.0,POINT (988961.7288841794 191983.92341828925),POINT (988972.2675542372 191978.82485244054),11.707217444827497
40.693633,-73.983044,10.9,2023-07-25 12:43:32+00:00,92.0,POINT (988952.0227045303 191986.1075142561),POINT (988961.7288841794 191983.92341828925),9.948879262158508
40.693631,-73.983062,10.9,2023-07-25 12:43:33+00:00,93.0,POINT (988947.0313139557 191985.3778897013),POINT (988952.0227045303 191986.1075142561),5.044435732488772
40.693635,-73.983084,10.9,2023-07-25 12:43:34+00:00,94.0,POINT (988940.9302716581 191986.83402855005),POINT (988947.0313139557 191985.3778897013),6.272404440349548
40.693641,-73.983102,10.9,2023-07-25 12:43:35+00:00,95.0,POINT (988935.9383186504 191989.0190417708),POINT (988940.9302716581 191986.83402855005),5.4492088973164705
40.693639,-73.983121,10.9,2023-07-25 12:43:36+00:00,96.0,POINT (988930.6696209114 191988.28936707656),POINT (988935.9383186504 191989.0190417708),5.318984961844711
40.693642,-73.983143,10.9,2023-07-25 12:43:37+00:00,97.0,POINT (988924.5686504409 191989.38118060175),POINT (988930.6696209114 191988.28936707656),6.197894598590515
40.693652,-73.983166,10.9,2023-07-25 12:43:38+00:00,98.0,POINT (988918.1898831587 191993.02324844297),POINT (988924.5686504409 191989.38118060175),7.3452930643382075
40.693657,-73.983197,10.9,2023-07-25 12:43:39+00:00,99.0,POINT (988909.5930097507 191994.84324511592),POINT (988918.1898831587 191993.02324844297),8.7874126045075
40.693656,-73.983212,10.9,2023-07-25 12:43:40+00:00,100.0,POINT (988905.4334715155 191994.4781181274),POINT (988909.5930097507 191994.84324511592),4.175533025562373
40.693655,-73.983227,10.9,2023-07-25 12:43:41+00:00,101.0,POINT (988901.2739331485 191994.1129918637),POINT (988905.4334715155 191994.4781181274),4.1755330935733435
40.693653,-73.983243,10.9,2023-07-25 12:43:42+00:00,102.0,POINT (988896.8371571371 191993.38348381783),POINT (988901.2739331485 191994.1129918637),4.496350004616498
40.693652,-73.983258,10.9,2023-07-25 12:43:43+00:00,103.0,POINT (988892.6776184537 191993.01835901776),POINT (988896.8371571371 191993.38348381783),4.175533280676285
40.693651,-73.983273,10.9,2023-07-25 12:43:44+00:00,104.0,POINT (988888.5180796525 191992.65323493787),POINT (988892.6776184537 191993.01835901776),4.175533335178509
40.693649,-73.983288,10.9,2023-07-25 12:43:45+00:00,105.0,POINT (988884.358610227 191991.92378212867),POINT (988888.5180796525 191992.65323493787),4.22294770297581
40.693648,-73.983304,10.9,2023-07-25 12:43:46+00:00,106.0,POINT (988879.9217638671 191991.55860660362),POINT (988884.358610227 191991.92378212867),4.451848917601199
40.693647,-73.983319,10.9,2023-07-25 12:43:47+00:00,107.0,POINT (988875.762224621 191991.19348470293),POINT (988879.9217638671 191991.55860660362),4.175533587740162
